order,author,summary,pros,text
60,Will,"1. The estate tax only applies to assets above a certain threshold, so it does not disproportionately burden poor people.
2. The estate tax is an important source of revenue for the government.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. A) Pro Reason: The argument provides a reason why the proposal would be good.
2. A) Pro Reason: The argument provides a reason why the proposal would be good.
3. C) Not applicable to the given proposal. Reason: The argument does not provide a reason for or against the proposal.
4. B) Con Reason: The argument provides a reason why the proposal would be bad.
5. C) Not applicable to the given proposal. Reason: The argument does not provide a reason for or against the proposal."," i think it's important to read this as the fact that they only tax what's above the 11.4 million. it doesn't trigger a tax on all poor people when you cross it. i don't think when you're taxed what's above 11.4 minute, it'll put you in the poverty"
61,Mike,"1. The speaker believes that the current system, while flawed, is better than nothing.
2. The speaker believes that people should be able to spend their money as they see fit, without having to spin the board or wait for someone else to spend it first.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. The current system is not being proposed, so it cannot be compared to the proposal.
2. B) Con. The speaker believes that people should be able to spend their money as they see fit, and a wealth tax would take away that freedom.
3. A) Pro. The speaker believes that a wealth tax on rich people is a good idea.
4. B) Con. The speaker believes that a wealth tax on rich people is a bad idea.
5. C) Not applicable to the given proposal. The proposal is not being compared to anything, so it cannot be the best thing ever."," i think we should keep it. we should, people should be able to spend, do you want to, you shouldn't have to spin the board, somebody else or somebody that you was at until you spend it on necessarily. you still get to see them for your children for the future. there are still some flaws, but it,aos better than nothing."
63,Gary,"1. The speaker argues that American wealth overall is no higher than it was in the 1980s.
2. The speaker argues that wealth has not grown.
3. The speaker argues that they are in favor of an estate tax.
4. The speaker argues that if the wealthy are in favor of wealth distribution, this is one way of getting it.
5. The speaker argues that this is a decent way to pay for programs that help everybody.","

1. C- This argument does not address the proposal.
2. C- This argument does not address the proposal.
3. A- This is a pro argument because it is in favor of the proposal.
4. A- This is a pro argument because it is in favor of the proposal.
5. A- This is a pro argument because it is in favor of the proposal."," i do. interesting to note that american wealth overall, it,aos no higher than it was in the 1980s. that's 40 years ago. wealth has not grown. i see nothing. i don't know what the current state tax is, but i'm all in favor of an estate tax. if you've made that kind of money, i have nothing wrong with taxing that amount of money. i don't know what the number should be 11 million, 22 million for a couple, but tax the dilemma that people are leaving beyond. i i've heard on the, television, many of the wealthiest people in this country are all in favor of wealth distribution. this is one way of getting wealth distribution. thomas robinhood kind of way. you're taking from the rich and giving it to the poor. but i see nothing wrong with that. if we as a nation that are going to, look upon everybody else as a human being and, we have adopted programs that tried to do that or come up with even new programs, you need a way to pay for it, and this certainly is the decent way to pay for it. i'm not saying raise it so high that, the wealthy can't live, but you certainly can live off of that and still provide a very nice source of income, for the gardener either. like you say, either we have to increase our income, we have to decrease our expenses. get away, you can increase your income and decrease. i'm already increase your expenses and decrease your overall government."
64,Jackie,"1. The estate tax taxes money before it is distributed.
2. Once you receive your share of an estate, you are no longer taxed on it.
3. If you invest your share of an estate and make gains, you will have to pay taxes on those gains.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C- Not applicable to the given proposal
2. C- Not applicable to the given proposal
3. A- Pro- This is an argument in favor of the proposal because it would result in more tax revenue.
4. B- Con- This is an argument against the proposal because it would be difficult to implement.
5. B- Con- This is an argument against the proposal because it would be difficult to implement."," can you explain to me exactly how the estate tax work? so it just taxes before then it's distributed? once you get your part, then you no longer are paying taxes on that. that if you would decide to invest it and make gains off of it, then you would have to pay tax on your gains. whatever you receive as yours, this do with it however you see fit."
66,Jackie,"1. The speaker is in favor of raising the minimum wage.
2. The speaker believes that the current minimum wage is not high enough.
3. The speaker thinks that people who are in favor of repealing the minimum wage are wrong.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. A) Pro 
2. A) Pro 
3. A) Pro 
4. C) Not applicable to the given proposal 
5. C) Not applicable to the given proposal",interesting because this talks about people being in favor raising it and the chart talked about repealing it. it's like they know early if you guys want to take a five point something good.
69,Gary,"1. A wealth tax is a good way to contribute to our tax income.
2. A wealth tax is a good way to determine the amount of wealth an estate has.
3. A wealth tax is a good way to tax the wealthy.
Question 2. What is this speaker's opinion of a wealth tax?
The speaker thinks that a wealth tax is a good way to contribute to our tax income and to determine the amount of wealth an estate has.",," not an income and it's a way through the estate itself to actually determine what that wealth tax or wealth amount is. i think, this is a good way to, contribute to our tax income. and realistically none of us will ever pay an estate tax"
71,Jackie,"1. The speaker argues that the estate tax is unfair because it taxes people who have already paid taxes on their income.
2. The speaker argues that the estate tax is unnecessary because people can avoid it by spending their money before they die.
3. The speaker argues that the estate tax is regressive because it disproportionately affects people with less money.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The estate tax is not mentioned in the proposal.
2. B) Con. The speaker argues that the estate tax is unnecessary because people can avoid it by spending their money before they die.
3. B) Con. The speaker argues that the estate tax is regressive because it disproportionately affects people with less money.
4. A) Pro. The speaker argues that we should implement a wealth tax on rich people.
5. C) Not applicable to the given proposal. The speaker does not give an argument for or against the wealth tax."," well, and the argument against is that they're able to be nimble or buy luxuries without being taxed. honestly, those things are taxed as well, but it's just more sales tax state. either way, even if they decide to go out and spend a lot of their money before they pass away so they don't have to be taxed on it. still they're still giving to the government in some way because they,aoll have to pay the sales tax."
72,Gary,"1. They should be allowed to do whatever they want with the money.
2. We should implement a wealth tax on rich people is okay
3. We should implement a wealth tax on rich people is bad
4. We should implement a wealth tax on rich people is the best thing ever
5. We should implement a wealth tax on rich people is the worst thing ever","

1. C) Not applicable to the given proposal. Reason: This is a statement, not an argument.
2. A) Pro. Reason: This is an argument in favor of the proposal.
3. B) Con. Reason: This is an argument against the proposal.
4. C) Not applicable to the given proposal. Reason: This is a statement, not an argument.
5. C) Not applicable to the given proposal. Reason: This is a statement, not an argument.",they should be allowed to do whatever they want with the money
73,Mike,"1. The super heros of America should spend more money to help others.
2. They are fairly compensated for their work.
3. They should help during natural disasters and other bad times.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: This argument is about super heros, not rich people.
2. A) Pro. Reason: This argument suggests that rich people are already doing good by helping others.
3. A) Pro. Reason: This argument suggests that rich people should help during natural disasters and other bad times.
4. A) Pro. Reason: This argument suggests that we should implement a wealth tax on rich people.
5. B) Con. Reason: This argument suggests that we should not implement a wealth tax on rich people."," look, it's like the super heros of america, they should definitely spend more money to help others. you get pretty compensated. fairly nice enough. you get paid. you get paid hourly or monthly so you should be able to help other people out, natural disasters, help the government. definitely bad times, build a bigger voice for people. definitely be wilting"
74,Gary,"1. The speaker argues that people like Warren Buffett and Bill Gates are doing wonderful things with their money by giving it away to charity.
2. The speaker argues that the children of wealthy families are not hurt by their parents' wealth.
3. The speaker argues that wealthy people can use their money to create great brands.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: The speaker is not making an argument for or against the proposal.
2. C) Not applicable to the given proposal. Reason: The speaker is not making an argument for or against the proposal.
3. C) Not applicable to the given proposal. Reason: The speaker is not making an argument for or against the proposal.
4. A) Pro. Reason: The speaker is arguing in favor of the proposal.
5. B) Con. Reason: The speaker is arguing against the proposal."," we have people like that. warren buffet and bill gates promised to give away their wealth or they die. they're doing wonderful things with their money. 99% of their wealth he's giving to the bill gates foundation when he dies. you had people like the mars family, the walton family. those children, i don't think are hurt any. got nelson to grow great brands, none of them."
77,Erick,"1. There should be a designated place to put the money.
2. The money should go towards paying down the national debt.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. Reason: This is not an argument for or against the proposal.
2. A) Pro. Reason: This would be a use for the money generated from the tax.
3. B) Con. Reason: This is an argument against the proposal.
4. A) Pro. Reason: This is an argument for the proposal.
5. C) Not applicable to the given proposal. Reason: This is not an argument for or against the proposal.",i think there should be a designated place to put that money. i think it should go towards paying down the national debt.
78,Gary,"1. The government should spend money more wisely.
2. Elected officials should be more responsible with taxpayer money.
3. The government should invest in the American people instead of lining their own pockets.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: This argument is about how the government spends money, not about implementing a wealth tax.
2. C) Not applicable to the given proposal. Reason: This argument is about how elected officials use taxpayer money, not about implementing a wealth tax.
3. A) Pro. Reason: This argument is in favor of the government investing in the American people, which implementing a wealth tax could do.
4. A) Pro. Reason: This argument is in favor of implementing a wealth tax on rich people.
5. B) Con. Reason: This argument is against implementing a wealth tax on rich people."," it should cause the government spending, but the elected officials, they should like spend it better, more wisely. we've talked earlier, they been in so many different basketball rooms and none of that, but that comes out of taxpayer's money. the government officials, they need to put it somewhere secure where really it would go to the american people instead of really do wealth. cause it seems like the wealth gets more."
80,Gary,"1. The speaker argues that raising the corporate tax rate caused companies to leave the United States.
2. The speaker argues that lowering the corporate tax rate will attract foreign investors to the United States.
3. The speaker argues that leaving the corporate tax rate as it is will allow companies to come back to the United States.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not to raise or lower the corporate tax rate.
2. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not to raise or lower the corporate tax rate.
3. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not to raise or lower the corporate tax rate.
4. A) Pro. The proposal is to implement a wealth tax on rich people.
5. B) Con. The proposal is to implement a wealth tax on rich people."," i think they needed to leave it there. i'll leave it alone. they dropped it down. now we've got companies that are coming back to united states. again when they raised it, we had people that were leaving left and right and going overseas. now they are coming back. if we lower it below, right, then we're going to have foreign investors coming in to our country, right? and bringing in their own workers for that area. it might an employee and a company that has 500 employees, right? 250 of them may be from the area, but the majority of them are going to be coming from their home companies overseas. so, and i think if they leave the tax alone the way it is right now, we're doing pretty good. you know, they're starting to come back"
81,Nori,"1. The tax bill is good for corporate executives.
2. The tax bill will not lead to increased investment or jobs.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. The tax bill mentioned could be referring to any tax bill and not necessarily the wealth tax on rich people.
2. B) Con. If the tax bill will not lead to increased investment or jobs, it could be harmful to the economy.
3. A) Pro. Implementing a wealth tax on rich people is okay according to this argument.
4. B) Con. Implementing a wealth tax on rich people is bad according to this argument.
5. C) Not applicable to the given proposal. This is a biased statement that does not provide any reasoning."," the flip side of that is there are many corporate executives, say, man, this is more money for me. taxes are going down and they didn't spend it on jobs or development or raising. just throw it in a pot, and say you know, that's you know, that's my money."
82,Jackie,"1. The speaker argues that the tax cut did not help the people at all.
2. The speaker argues that the tax cut only helped the corporation itself.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. B. The tax cut may have helped some people, but not all people.
2. A. The tax cut may have helped the corporation, but it is not clear if it helped the people.
3. C. This is not an argument.
4. C. This is not an argument.
5. C. This is not an argument.",i personally didn't see it helping the people at all. i just thought just helping the corporation itself
86,Jackie,"1. The profit of a corporation is the difference between what it spends to build its products and what it sells them for.
2. Other expenses are considered when calculating the profit of a corporation.
3. The profit of a corporation is taxed.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C- Other expenses are considered when calculating the profit of a corporation.
2. C- The profit of a corporation is taxed.
3. A- The profit of a corporation is the difference between what it spends to build its products and what it sells them for.
4. B- We should implement a wealth tax on rich people is bad
5. A- We should implement a wealth tax on rich people is okay",the profit may not in the corporation is a corporation spends $10 to build the products and sells them for $30 and every other expense is considered. the difference is the profit and that's tax.
87,Will,"1. The speaker argues that the $20 that is left over from the $100 will either be distributed to shareholders or stored in banks.
2. The speaker argues that the $100 is not enough to live on.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C- Not applicable to the given proposal.
2. C- Not applicable to the given proposal.
3. A- The argument is in favor of the proposal.
4. B- The argument is against the proposal.
5. C- Not applicable to the given proposal."," presumably the $20 that's left over either will get distributed to shareholders or, so this is off season pretty much offshore and stored in banks on a salary of which they've taxed."
88,Erick,"1. The speaker argues that the tax on corporations is 10%.
2. The speaker argues that the tax on corporations goes to shareholders in the form of dividends.
3. The speaker argues that corporate executives own a large percentage of the company.
4. The speaker argues that corporations use their profits for research and development and expansion.
5. We should implement a wealth tax on rich people is okay",".

1. C- This is not applicable to the given proposal. The proposal is to implement a wealth tax, not a corporate tax.
2. C- This is not applicable to the given proposal. The proposal is to implement a wealth tax, not a corporate tax.
3. C- This is not applicable to the given proposal. The proposal is to implement a wealth tax, not a corporate tax.
4. C- This is not applicable to the given proposal. The proposal is to implement a wealth tax, not a corporate tax.
5. A- This is a pro argument. The speaker is in favor of implementing a wealth tax."," that's part still is the 10 bucks, but whatever is left over, that profit i think is what's tax. i think you're absolutely right. it goes to tax holders in the form of stock dividends. usually it's how they pay it out. of course those corporate executives also own, 40 50 60% of the company or more maybe depends on for a corporation to be successful in the funds for research and development. also for expansion or maintenance. all that. that's what's taken out before they're taxed. that's pre-tax dollars, i guess you'd call that"
89,Will,"1. The speaker argues that corporations could say they have no income.
2. We should implement a wealth tax on rich people is okay
3. We should implement a wealth tax on rich people is bad
4. We should implement a wealth tax on rich people is the best thing ever
5. We should implement a wealth tax on rich people is the worst thing ever","

1. C) Not applicable to the given proposal. The speaker is not discussing whether or not to implement a wealth tax, but rather how corporations could get around paying it.
2. A) Pro. The speaker is in favor of implementing a wealth tax.
3. B) Con. The speaker is against implementing a wealth tax.
4. C) Not applicable to the given proposal. The speaker is not discussing whether or not to implement a wealth tax, but rather how corporations could get around paying it.
5. C) Not applicable to the given proposal. The speaker is not discussing whether or not to implement a wealth tax, but rather how corporations could get around paying it.",so realistically from a corporation could basically say they have no income.
90,Jackie,"1. The speaker argues that companies cannot say they have no income or earnings if they have a net profit.
2. The speaker argues that companies can only say they have no net profit if they have no income or earnings.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not on companies.
2. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not on companies.
3. A) Pro. The speaker is in favor of the proposal.
4. B) Con. The speaker is against the proposal.
5. C) Not applicable to the given proposal. The proposal is to implement a wealth tax on rich people, not to say that it is the best thing ever."," profit, not income, they can say they have no net profit but they can,aot say they have no income or earning."
93,Angela,"1. The tax cut will bring companies back to the US.
2. The tax cut will create jobs.
3. The tax cut will help the economy.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not a tax cut.
2. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not a tax cut.
3. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not a tax cut.
4. A) Pro. The proposal is about implementing a wealth tax on rich people.
5. B) Con. The proposal is about implementing a wealth tax on rich people."," it even talks about a lot of them use loopholes during use to the taxes, even though it is at 21%. if it did and brings me more companies back, that's good until at least more people were hired from it. it wasn't really that long ago that it had that huge cut."
95,Erick,"1. The corporate tax rate reduction will offset the tariffs on Chinese goods.
2. The corporate tax rate reduction will increase production.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C- Not applicable to the given proposal
2. C- Not applicable to the given proposal
3. A- Pro 
4. B- Con
5. C- Not applicable to the given proposal"," i would think that one interesting aspect of it too is that, the corporate tax was reduced, but now concurrently you're getting a tariff policy with the chinese and that, creating certain kind of fears and investments in markets. if you really wanted to analyze to see what the effect of that corporate tax rate your production wise, well now you've kind of got this offset when the tariffs, yeah, i would think we'd be chipping away at those games that everyday people would be feeling from the corporate tax rate reduction."
96,Gary,"1. The employment rate has increased in the speaker's area.
2. Raising or lowering the corporate tax rate may not have had anything to do with this increase.
3. Having a job with a possible future is part of what makes an area prosperous.
4. There is less unemployment now than there was before.
5. We should implement a wealth tax on rich people is okay",".

1. C) Not applicable to the given proposal. The argument is about the employment rate, not the proposal.
2. C) Not applicable to the given proposal. The argument is about the corporate tax rate, not the proposal.
3. A) Pro. The argument is that jobs are good for an area's prosperity.
4. A) Pro. The argument is that less unemployment is good.
5. B) Con. The argument is that implementing a wealth tax is not okay."," i don't know about you, but in my area up there, the employment rate has climbed. there's a lot more people that are making a lot more money and have jobs. so, i don't know if raising or lowering the corporate tax had anything to do with that, but i just know that there's a lot of people in my area that now have jobs that didn't before and there's a lot of people out there like you who were on the low side. but will struggle and strive for improvement. and just having a job with a possible future, is, is part of that. so they say it has it boiling down to the lower guy increase in wages or anything else like that. there's a whole lot less unemployment."
98,Chanel,"1. The unemployment rate is the lowest it has been since the 1950s.
2. The average employee in companies like McDonald's can't just hold that job.
3. The speaker suggests that the current economic conditions are good for workers.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The unemployment rate is not relevant to the proposal.
2. C) Not applicable to the given proposal. The average employee in McDonald's is not relevant to the proposal.
3. A) Pro. The current economic conditions are good for workers, so a wealth tax on rich people is okay.
4. B) Con. The speaker suggests that the current economic conditions are bad for workers, so a wealth tax on rich people is bad."," simply go on to take a look at the average employee that was currently in those companies that are like mcdonald's and all. they can't just hold that job. they have held another job. the unemployment is the lowest since the 50s, right?"
99,Angela,"1. A person making $7 an hour might be able to support a family on that income.
2. It is hard to support a family of three on a two income household.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly.
2. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly.
3. A) Pro. Reason: This is a direct argument in support of the proposal.
4. B) Con. Reason: This is a direct argument against the proposal.
5. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly."," that goes along with the minimum wage that they have. should we increase the minimum wage to $15 by 2025? i personally think so, because a person making $7 an hour might be able to support a family on that income or and i mean, right. i mean, i'm a two income family and we struggle at times and there's just the three of us, and we don't live in, i mean, we live modestly. it's not that we don't have anything extraordinary, but it's still hard to support a family of three on a two income household. ."
100,Gary,"1. The speaker argues that raising the minimum wage to $15 an hour would be too expensive for small businesses.
2. The speaker argues that entry-level jobs like flipping burgers are supposed to be just that – entry-level. They are not meant to be high-paying jobs.
3. The speaker argues that many people who work at minimum wage jobs are not motivated to do more than the bare minimum and are content with just collecting a paycheck.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not raising the minimum wage.
2. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not entry-level jobs.
3. C) Not applicable to the given proposal. The proposal is about implementing a wealth tax, not minimum wage jobs.
4. A) Pro. This is an argument in favor of the proposal.
5. B) Con. This is an argument against the proposal."," i have to look at that from the, i'm an owner of a small business. i cannot afford to pay an employee 15 bucks an hour because as an employee, all of the that are taken out of an employee's paycheck, the business owner has to duplicate. right? so if i pay you 15 bucks an hour and i take six bucks an hour out of your pay, right? i mean, i got to pay 12 bucks an hour plus your 15 bucks an hour, right in order to have you as an employee. now that's just kind of an exaggeration, right? but that's a big thing, especially a first small business. out there too, you said flipping burgers, but those were supposed to be entry level positions so you could learn how things work, right? with the pay and benefits and yeah, i've known people who work at mcdonald's who are managers that are placed now, right. in just a few years and all it takes is some real drive to be able to do that. on the other hand, i see a lot of people who have no drive, they just there for paycheck. and that's the only reason they're there and not willing to do anything more and above with the quote of ,authat's not my job,au. and that irritates me because that tells me that you have, my brother is one of them, right? he lives up in st. louis. at his job i was talking to him and he says, ,auhey, that ain,aot my job. they don't pay me to do that.,au well where's the incentive to move up? if you're doing something that's not your job and your boss sees you, he sees that as incentive, and he keeps an eye on you and watches and that's going to help you start to move up. period"
101,Ken,"1. The speaker argues that managers do not necessarily give employees what they deserve.
2. The speaker argues that it is important to keep small businesses because they provide more local jobs.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C- This is not applicable to the given proposal.
2. C- This is not applicable to the given proposal.
3. A- This is a pro argument because it is in favor of implementing a wealth tax on rich people.
4. B- This is a con argument because it is against implementing a wealth tax on rich people.
5. C- This is not applicable to the given proposal."," the thing is with the people ,ai bosses, ceos or managers, they don't necessarily give you what you deserve. i mean, me, i work in silver now and i used to be a manager, i didn't get any really great even as a manager. i don't know why anybody else would do it. it'd be a manager. i started respecting managers more. i was like, even that, it's like, it's, it started out as an entry level, but now the government got us in a way where we're forced to stay there all our lives or for 20 years and try to make it a career and retire the murders, ? and it's sad that way, but it's still important that we keep the smaller businesses because we've got more local, smaller businesses. that is, that's people from your area. they'd be jobs, you have to be graduated from high school. they've always been in the community and do stuff where they, instead of big business standing on the rest of like walmart comes to town when you're taking out all the little small local restaurants, small little farm machine places and stuff. and then you still not getting voice for. i think the most thing for me coming right down is keeping all our local small businesses."
102,Will,"1. Raising the minimum wage is a political way of getting votes and just generates inflation.
2. The government has caused inflation by printing more money.
3. If the minimum wage had kept up with inflation, it would be much higher than it is now.
4. Mandating the minimum wage means that businesses will have to lay off people.
5. We should implement a wealth tax on rich people is okay",", but it should be a percentage of their assets, not their income.

1. C) Not applicable to the given proposal. The argument is about raising the minimum wage, not implementing a wealth tax on rich people.
2. C) Not applicable to the given proposal. The argument is about inflation, not implementing a wealth tax on rich people.
3. C) Not applicable to the given proposal. The argument is about the minimum wage, not implementing a wealth tax on rich people.
4. B) Con. The argument is that businesses will have to lay off people if the minimum wage is mandated.
5. A) Pro. The argument is that we should implement a wealth tax on rich people."," when you mandate minimum wage, you're just generating the inflation machine. everything's going to cost more because your businesses have to raise prices in order to pay for the extra minimum wage. you really haven,aot gained anything that raising the minimum wages is a political way of getting votes and just generates inflation. if you go back,ap i'm in my upper seventies now and you go back to when i was a kid, when i was starting to work, the minimum wage was probably a dollar and a quarter an hour. gasoline was 25 cents a gallon. why is it not that now? it's because of inflation. because the government decided that they needed more money and the way to do that is to print more money and print more money. that makes the money that has less valuable or if you mandate the minimum wage, that means that all of your businesses either have to lay off people, which is one of those catch 22 situation to destroy what you are trying to build."
103,Ken,"1. The government can help control inflation.
2. Inflation is a natural occurrence in some cases.
3. The government needs to balance out its resources.
4. Gas and food are more important than other things.
5. We should implement a wealth tax on rich people is okay",".

1. C) Not applicable to the given proposal. Reason: This argument is about inflation, not about implementing a wealth tax.
2. C) Not applicable to the given proposal. Reason: This argument is about inflation, not about implementing a wealth tax.
3. C) Not applicable to the given proposal. Reason: This argument is about the government's resources, not about implementing a wealth tax.
4. C) Not applicable to the given proposal. Reason: This argument is about gas and food, not about implementing a wealth tax.
5. A) Pro. Reason: This argument is in support of implementing a wealth tax."," i think the government can help herself in a way though. i understand that inflation is going to happen in certain cases but doesn't necessarily have to happen. we don't necessarily know that because the governor makes the decisions on that, and we don't. we miss gas been a dollar, or two dollars, but at the same time, like the minimal, wait, i forgot what i mean. it's like the inflation,ap the government,ap they need to kind of balance out the resources we have. can we use more, spend more of, and what do we necessarily need to keep, the country, what's more important to us? like, well, the gasses and the certain foster foods that you're wearing, important more than ask for them. you gotta kind of that out better as i know officiants and ceos and big business"
104,Chanel,"1. The speaker argues that more texts should be put back into schools.
2. The speaker argues that kids in poverty-stricken areas often have no one to teach them.
3. The speaker argues that teachers are paid less than people who work in prisons.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. A) Pro 
2. A) Pro 
3. A) Pro 
4. C) Not applicable to the given proposal 
5. B) Con"," i'd like to see more texts go back into the school. because it, to me, if you don't start at the bottom, there's certain areas where kids are using schoolbooks 10 or like five years old and they can't even take a home. like there's certain schools where they're staying in, they don't have air conditioning. like can you imagine being a child? how can you learn to do better if you don't have the basic things to help you better? and if no one's teaching and i'm talking about all areas, not just in california, not just, like i would just like to see, cause since we're talking about taxes, it seems like, i don't know if the lottery taxes or whatever supposed to go towards school, but i feel like teachers get paid less than people that work in prisons. so, yeah, we're going to pay you to be a ceo like i don't mean to keep bringing up the school to prison pipeline, but if you guys really think about that there's a lot of kids of all nationalities that by the time they're in eighth grade, they're not figuring out a new classroom, they are figuring out that new jail cell. those people go on to have kids and then their kids grow up in poverty and then it just becomes bigger and bigger. i'm going to just stop right here,ap"
106,Mike,"1. The speaker argues that raising the minimum wage would be detrimental to small businesses.
2. The speaker argues that raising the minimum wage would benefit large corporations.
3. The speaker argues that there should be an exemption for small businesses when it comes to the minimum wage.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. B. Reason: The speaker argues that raising the minimum wage would benefit small businesses.
2. A. Reason: The speaker argues that raising the minimum wage would be detrimental to large corporations.
3. C. Reason: The speaker does not mention small businesses when discussing the minimum wage.
4. A. Reason: The speaker argues that implementing a wealth tax on rich people is okay.
5. B. Reason: The speaker argues that implementing a wealth tax on rich people is bad."," i was going to ask you if you weren't a small business owner or if there was an exemption, in terms of the minimum wage. if walmart and mcdonald's and these huge corporations had to pay the 15 and maybe yours was up from a seven to nine, would that change your thought process on that in terms of paying people later? i've been a small business owner, that's a lot different than being a huge corporation that brings in two, three, $4 billion a year."
107,Gary,"1. The minimum wage should be raised, but not doubled.
2. The minimum wage is for entry level positions.
3. Automation is replacing jobs that pay minimum wage.
4. Companies that refuse to pay their employees what they're worth should be mandated.
5. We should implement a wealth tax on rich people is okay",", but not on the middle class.

1. B. Con. The minimum wage should not be raised because it would lead to inflation.
2. A. Pro. The minimum wage is for entry level positions and should be increased so that people can live off of it.
3. C. Not applicable. Automation is not relevant to the proposal.
4. A. Pro. Companies should be mandated to pay their employees what they're worth so that they can live off of their wages.
5. B. Con. We should not implement a wealth tax on rich people because it would lead to them leaving the country."," it might make me able to hire another bike washer, but that's an entry level kind of job. he's a, if he's working in my motorcycle shop and he's washing motorcycles, he's learning about them and hopefully he'll be able to, i have had people work for me before. they started out as bike washers and ended up going to school to learn to be a motorcycle mechanic and now they're turning wrenches and doing what they wanted to do. but yeah, it, i think that yes, the minimum wage should be raised a little bit but not doubled. that minimum wage is supposed to be for generally, supposed to be generally speaking for entry level positions. i have a niece who started off at walmart making minimum wage and she still works at walmart. it's like six years later. she is doing enough to be able to support her and her daughter on the money that she makes at walmart. so, i'm sure not everything is like that, but one of my main arguments is, okay, mcdonald's is switching to automation. they have these little kiosks, right, where you order your stuff and then you go get it. my local mcdonald's, they can't get my order right to save their life. i can't tell you how many times i've called that 800 number or send them a text, this is ridiculous. i ordered my burger with no onions and it comes back living, and you're telling me that you won't 15 bucks an hour and you can't get the order. i mean, in some instances, i agree that there are companies that refuse to pay their employees what they're worth, but how can you mandate that?"
