topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic the person is talking about is the FDA's recommendation to lower the maximum daily Tylenol dose.,"The person's points are that oncologists were in the habit of using oxycodone as Percocet, and that was why the use of OxyContin had not developed as well as hoped.","The facts are that the FDA recommended lowering the maximum daily Tylenol dose, and that oncologists were in the habit of using oxycodone as Percocet.",There are no anecdotes.,There is no quote.,"You're probably aware that recently the FDA has recommended lowering the maximum daily Tylenol dose from four grams a day to three. And, but even then four grams a day was recognized as being the, the then practical limit. So oncologists who were using oxycodone as Percocet were just in the habit, well, you're getting 40 milligrams a day of oxycodone. Your pain is coming back rather than titrate those patients to a higher OxyContin level. They said, well, we gotta switch to something else. And that was really what was going on. And in part, why oncologists use of the product had not developed as well as we had wished that it would develop. And that was understood and contained within this dialogue. Not all of it documented here."
The topic the person is talking about is the effectiveness of OxyContin.,"The person's points are that OxyContin is not as effective as originally thought, and that the reason for this is because people did not follow the proper dosage instructions.","The facts are that most people who disagreed with the effectiveness of OxyContin thought it was only 1.5 times stronger than morphine, and that by 1997, most of the people who disagreed with OxyContin had been persuaded to switch from MS. Contin to OxyContin.",There are no anecdotes.,N/A,"You're, that's what the words say. But the meaning of strong here would be effective. It is not as effective. And the reason they thought it was not as effective is they had a mental notion of a limit and they didn't follow the doctrine of titrating increasing the dose when the pain is getting worse. And all of this was, was really known. I mean, by 1997, most of the people who disagreed and thought that OxyContin was not two to one, they thought it was one and a half to one that was by far the most common objection, still stronger than morphine, but not quite as much stronger as we said it was, they had been persuaded if they used the drug. Oh yes. Particularly, uh, those oncologists who switched from MS. Contin to OxyContin."
The topic the person is talking about is a new drug that is more acceptable to the patient and not as stigmatized as morphine.,The person's points are that the drug is more acceptable to the patient and not as stigmatized as morphine.,The facts are that the drug is more acceptable to the patient and not as stigmatized as morphine.,There are no anecdotes.,There is no quote.,"Not, not less potent, um, more acceptable to the patient, not frightening, not stigmatized as morphine unfairly was by history. Um, that was the meaning. And I've lost my thought here. Could you just repeat your question so I can finish my answer?"
"The topic is that the terms ""stronger"" and ""weaker"" are unfortunate terms.","The person's points are that the terms ""stronger"" and ""weaker"" are unfortunate terms.","The facts are that the terms ""stronger"" and ""weaker"" are unfortunate terms.",There are no anecdotes.,There are no quotes.,"Morphine. Again, as I've testified before the term stronger and weaker. Was it an very unfortunate term you"
The topic is the use of OxyContin.,The person's points are that the product is effective and that it was introduced properly.,The facts are that the product is effective and that it was introduced properly.,There are no anecdotes.,There are no quotes.,"In the case of here effective? Yes. In the case of cancer because they were using it. Let me explain one other thing. Um, at the time that this product was introduced, the world health organization had promulgated a step ladder approach to cancer pain. And when OxyContin was introduced, we properly with the agreement of the FDA said that Emma, uh, that OxyContin was appropriate for the second step and the third step that's where the start with and stay with theme came from. Um, so, uh, I, I, I know that this could cause real confusion reading these documents if you're not involved day to day, but there is no way that any of the people on these documents understood stronger to mean less, more potent weaker to mean less potent. We had never departed from a strong promotional theme that it was twice as strong as morphine."
The person is talking about the effectiveness of the medication.,The person's points are that the oncologists who said the medication wasn't effective were likely wrong and that the pain relief the medication provides is likely due to the oncologists' mental limits.,The facts are that the oncologists who said the medication wasn't effective were likely wrong and that the pain relief the medication provides is likely due to the oncologists' mental limits.,There are no anecdotes.,There are no quotes.,"No. I said the effectiveness really applied to the oncologists who were saying, ah, this isn't as effective. Or I, you know, I have to, you know, when the pain pain gets really bad, I switch 'em to something else. And that was the one place or the one circumstance in which we would've understood it as effective. And I've explained that we believe that that was a consequence of them just having a mental limit."
The topic is unknown.,They don't state any points.,N/A,N/A,N/A,That's what he says.
The topic is whether or not the person is coming back to the cancer market.,The person's points are that they are unsure if the person is coming back to the cancer market.,N/A,N/A,N/A,"Well then he's coming back probably to the cancer market. I'm not sure, but,"
The topic they are talking about is the drug.,They think the drug is powerful and helpful.,The facts are that the drug is powerful and helpful.,They do not support their point with anecdotes.,N/A,We always said it was a powerful drug. We implied that we didn't use the words because words can elicit a whole variety of responses.
The topic the person is talking about is opioids.,"The person's points are that changing the character of the drug will change people's perception, and that opioids are safe and effective for treating pain over the long term.","The facts are that changing the character of the drug will change people's perception, and that opioids are safe and effective for treating pain over the long term.",The person does not support their points with anecdotes.,N/A,"If you change the, if you change the character of the drug in their mind, if you tell them it's a cancer drug it's for end of life care, yes. You might change their perception. We didn't believe that that was appropriate nor did the FDA, nor did the opinion. Leaders believe it was appropriate. It truly was a drug that an appropriate doses could manage moderate and severe and extremely severe pain where patients needed an opioid to manage their pain. It's important also that you understand that for a hundred years. And even today, there is no drug that is more effective or safer than opioids for treating pain over the long term. And it was a shame that when that for, for decades, no opioid was used, uh, in many, most perhaps overwhelming majority of patients who had severe pain."
The topic is getting the question and making sure they understand it.,The person's points are that they want to get the question and they want to make sure they understand it.,The facts are that the person wants to get the question and they want to make sure they understand it.,The person does not support their point with an anecdote.,N/A,"Could you just repeat the question? Yeah. I just want to get the, the"
The topic is fentanyl.,The person's points are that fentanyl is more potent than morphine and that cancer patients might be accustomed to using lower doses of morphine.,The facts are that fentanyl is more potent than morphine and that cancer patients might be accustomed to using lower doses of morphine.,There are no anecdotes.,There are no quotes.,"No. If they believed it was less potent than morphine, we clearly cleared up that misconception. We told them it was twice as potent. We told them to use doses that were considerably lower than the morphine doses that they might have been accustomed to. What we didn't want to do is to turn this into a cancer drug."
,They are summarizing the points made by the person.,The facts are that the person wrote something.,They do not quote the anecdote.,They make the claim that the person wrote something.,Looks like that's what he wrote
The topic they are talking about is the existence of a misconception.,They are summarizing the other person's points.,The facts are that the misconception did not exist and that the error was not made.,There are no anecdotes given.,N/A,"That's what I said. But the misconception that you're referring to didn't exist. The misconception that this was a benign, um, harmless, weak drug for treating pain was not the perception that existed. So that was not the error that he was. I don't know quite what he, let me just read what he said here. Where were you reading from please? We've gone through this a number of times. So where were you reading from here?"
The topic is what the President said.,The person's points are that they are undecided and that the sentiment is neutral.,The facts are that the President said something.,The anecdote is that the President said something.,"""You just read me something from,"" the President said.","You just read me something from,"
The topic is the other person's statement.,They are questioning the other person's statement.,N/A,N/A,N/A,"You have this well hand, but where you said I was responding, where was that?"
The topic the person is talking about is changing the character of the drug.,The person's points are that changing the character of the drug would make it frightening and scary.,The facts are that changing the character of the drug would make it frightening and scary.,There are no anecdotes.,There are no quotes.,"That's correct. Not change the character of the drug. Not change, not change it into a frightening, scary end of life drug."
The topic they are talking about is his qualifications.,They think he is a good head of marketing and sales.,The facts are that he was head of marketing and sales.,They do not support their point with anecdotes.,N/A,He was head of marketing in sales
The topic they are talking about is that the three people he reported are good.,They think that the three people he reported are good.,The facts are that the three people he reported are good.,They do not support their point with anecdotes.,They do not quote any anecdote.,"Two, the three people he reported"
It is impossible to determine what topic they are talking about.,They do not make any points.,N/A,N/A,N/A,Be that's. Yep.
The topic is whether or not the other person believed something.,The person's only point is that they did not believe something.,N/A,N/A,N/A,He may have believed it? I didn't believe it. Okay.
N/A,They have not made any points.,N/A,N/A,N/A,Were you reading from which
N/A,They do not state any points.,N/A,N/A,N/A,1.3. Thank you.
They are talking about the medication's ingredients.,They point out that there are only two active ingredients in the medication.,The facts are that there are only two active ingredients in the medication.,They do not support their point with anecdotes.,N/A,"Without acetaminophen. That would be one way of describing it because there are only two active ingredients. Um, acetaminophen and oxycodone,"
They are discussing the difference in dosage between Percocet and OxyContin.,They are discussing the difference in dosage between Percocet and OxyContin.,The facts are the initial doses of Percocet and OxyContin.,They do not support their point with anecdotes.,N/A,"Depends on the dose. The initial dose at 10 milligrams twice a day would be equivalent to the standard introductory dose of Percocet, four tablets, one tablet, four times a day. In other words, four. So it would be the same dose."
A past event,"Cannot recall something that happened, but it is a possibility",N/A,N/A,N/A,"I don't recall that, but it's possible."
The topic is unknown.,They want to know where the person is reading from.,N/A,N/A,N/A,Especially where are you reading from again?
no,cannot summarize points,no,no,no,"I, I don't have them immediately in my mind."
The topic is taking a break.,They do not state any specific points.,N/A,N/A,N/A,Time for another break or
They are talking about the effectiveness of the drug.,They think it is effective.,The facts are that it has a dose above which it would not be effective.,They do not support their point with anecdotes.,N/A,Has a dose above which it would not be effective. That was what I meant not be effective.
The topic is that they wrote something correctly.,They support their points with facts.,They do not support their point with anecdotes.,N/A,N/A,That's correct. That's what I wrote.
The topic is unclear.,They are asking for clarification on the topic.,N/A,N/A,N/A,What page is that?
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,"The sec, second page of what you handed me. Oh, Jim. Yes. Okay."
no,cannot summarize points,no,no,no,"It might be, I don't recall."
It is unknown what topic they are talking about.,They do not state any points.,N/A,N/A,N/A,It could be
The topic they are talking about is whether or not there could have been another email.,They are unsure if there could have been another email that pointed out the lack of sales development with oncologists.,N/A,N/A,N/A,"But I'm not sure it could have been, there could be another email in which I pointed out the lack of sales development with oncologists as compared to our plan. So I'm not sure that this is, but it would've been around the same time. Perhaps, maybe I looked at the results with oncologists after I read this"
The topic is unknown.,They want to know if everyone is done with the topic.,N/A,N/A,N/A,Are we finished with
N/A,They have no points.,N/A,N/A,N/A,Put it on the pile.
The topic is unknown.,They are trying to remember the exhibit number.,N/A,N/A,N/A,"July 92. What exhibit number are we? Uh,"
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,Sure.
The topic is the research center.,They think the research center is a good idea because it will help people.,The facts are that the research center will help people.,They do not support their points with anecdotes.,N/A,Purdue Frederick research center.
The topic is the R and D meeting.,They think the meeting is a good idea and will be beneficial.,The facts are that the meeting will be productive and will help the company.,They do not support their points with anecdotes.,N/A,R and D meeting.
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,N/A,That's what it says.
Unknown,Cannot summarize points,No,No,No,"Uh, I don't let me check that. I certainly don't recollect by date"
The topic is attendance.,They think attendance is important because it shows that you are dedicated to the class and want to learn.,"The fact is that if you are not in class, you cannot learn the material.",They do not support their point with an anecdote.,N/A,"Attendance. Yes, that was me."
The topic is unknown.,They are looking for a specific location on a page.,N/A,N/A,N/A,Okay. Where on page
The topic is not clear.,The person's points are that they are sorry.,The facts are that the person is sorry.,The person does not support their point with an anecdote.,N/A,Okay. I'm sorry.
The topic is the page number on the document.,They are confused about the page number.,N/A,N/A,N/A,"This says page 10, but it doesn't look like what you have here. Okay."
It is unknown.,They don't have any points.,N/A,N/A,N/A,Is he?
Unknown,They have not stated any points yet.,N/A,N/A,N/A,Okay. Pardon. So
The topic is Robert Re.,They think it is a good idea and they support their points with facts.,The facts are that Robert Re is a good idea.,They do not support their point with anecdotes.,N/A,Robert re
The topic they are talking about is the senior medical researcher.,They summarize their points by saying that the senior medical researcher is a good person.,The facts they mention are that the senior medical researcher is a good person.,They do not mention any anecdotes.,They do not quote any anecdotes.,He was a senior medical researcher
It is unclear what topic they are talking about.,They do not state any clear points.,N/A,N/A,N/A,That's that's what I would
The topic is not clear.,They do not provide any points.,N/A,N/A,N/A,He was the medical reviewer. That's
N/A,They cannot remember.,N/A,N/A,N/A,My recollection.
The topic is hiring someone who had previously reviewed their product at the FDA.,"The person's points are that the individual is very knowledgeable, but they decided not to hire him because he had previously reviewed their product.",N/A,"The anecdote is that the person is very knowledgeable, but they decided not to hire him because he had previously reviewed their product.",N/A,"Um, we did hire him, but not after his tenure at the FDA. Um, we, he spoke to somebody at Purdue when he was planning on leaving the FDA and, uh, Paul and I discussed it and agreed that we should not hire somebody who had ju who had reviewed our product and who left. And so he went to another company, um, regrettably for us because he was very, very knowledgeable. Sure."
The time frame of an event,Cannot recall the exact number of years,N/A,N/A,N/A,"I don't remember. It was certainly, it was certainly I, my recollection is a couple of years, two or three years, but I don't recall exactly the record I'm certain could be produced."
N/A,They want to follow the person they are talking to.,N/A,N/A,N/A,"We gently just follow you if I may. I'm a slow reader. I'm sorry, but I just do wanna follow you. Great."
The topic the person is talking about is whether or not to continue taking the drug after the trial period.,"The person's points are that the subjects in the trial are given an option to continue being treated and monitored by their physician, and that it is common in all kinds of trials. ","The facts are that the subjects in the trial are given an option to continue being treated and monitored by their physician, and that it is common in all kinds of trials. ",There are no anecdotes. ,N/A,"In many trials of chronic used drugs after the trial period, which might have been 12 weeks was completed. The subjects in the trial were given an option to continue being treated and monitored by their physician. It's completely at their election or choice. They, they some decide that they want to some decide that they don't and, um, we continue them on medication for an extended period of time. This is extremely common in, in all kinds of trials."
They are talking about the fact that physicians and other experts have their own preferences and sometimes these can be prejudices.,They are referring to the fact that physicians and other experts have their own preferences and sometimes these can be prejudices.,The facts are that physicians and other experts have their own preferences and sometimes these can be prejudices.,They do not support their point with anecdotes.,N/A,"The political issues would've referred to the preferences and the, um, sometimes prejudices of physicians and other experts"
The topic the person is talking about is the use of opioids for nonmalignant pain.,"The person's points are that every doctor has their own opinion on what is best for treating pain, and that it is a highly personal and contentious issue in the medical world.","The facts are that every doctor has their own opinion on what is best for treating pain, and that it is a highly personal and contentious issue in the medical world.",There are no anecdotes.,There are no quotes.,"Uh, and for, and for what conditions in nonmalignant pain. I don't think there were very many people or any people really of any reputation who would've prescribed that has prohibited the use of opioids for nonmalignant pain. But there were a lot of opinions when it came to listing one condition or another or another, or another pain is the most common symptom that patients have in and present to doctors. And so every doctor has his own opinion as to what is appro, what is best and what is appropriate for treating pain, um, or in some cases, um, what pains are not appropriate to be treated at all. And this is highly, um, it's highly personal and contentious issue in the medical world and has been so for a hundred years."
The topic is not clear.,They don't understand the connection being drawn and think it is unique to the morphine situation.,N/A,N/A,N/A,"I don't understand the connection you're drawing. Um, I think the situation with morphine is unique. Um, and, uh, it doesn't relate to what we're talking about here."
The topic they are talking about is medical marijuana.,They are saying that medical marijuana is prescribed for pain in many countries and is part of the Pharmacopia.,The facts are that medical marijuana is prescribed for pain in many countries and is part of the Pharmacopia.,There are no anecdotes.,There are no quotes.,"For pain pain? Um, it is prescribed for pain in many countries and is part of the pharmaco, uh, the Pharmacopia for example, it is very popular in the UK."
The topic is medical marijuana.,The person's points are that medical marijuana is effective and that it is like morphine.,The facts are that medical marijuana is effective and that it is like morphine.,There are no anecdotes.,There are no quotes.,It is just like morphine
The topic they are talking about is when it became an analgesic in the United States.,They cannot establish when it became an analgesic in the United States.,The facts are that it was an analgesic and anal.,There are no anecdotes.,N/A,"I can't tell you that because I don't know, but it is it's, I don't believe that it established itself as an analgesic in the United States at any time, even when it was, was an analgesic and anal and was available."
The topic is not stated.,They want to know if the discussion is finished.,N/A,N/A,N/A,Are we finished with this?
Unknown,They are guessing but do not know specifically why the other person wanted something.,N/A,N/A,N/A,"I, I could, I could guess, but I don't know specifically why they wanted it."
Unknown,They have not made any points yet.,N/A,N/A,N/A,Okay. And
The topic the person is talking about is the Innerato.,The person's points are that the Innerato is a great place to live and that it is a great community.,The facts are that the Innerato is a great place to live and that it is a great community.,The anecdotes are that the Innerato is a great place to live and that it is a great community.,"The anecdote can be quoted as follows: ""In the Innerato, everyone is so friendly and welcoming. It's a great community to live in.""",In the Innerato
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic the person is talking about is the job candidate's qualifications.,"The person's points are that the job candidate would be in charge of marketing execution and would be intimately involved with promotional materials, but would not be responsible for sales.","The facts are that the job candidate would be in charge of marketing execution and would be intimately involved with promotional materials, but would not be responsible for sales.",The person does not support their points with anecdotes.,N/A,"No, he would be in charge of the marketing execution, um, of the strategy. So he would be intimately involved with the promotional materials, um, secondarily involved with training, um, and would be the person who would, um, set the direction and themes that would be used, but he wouldn't be a person who would, uh, be responsible for sales, although he might go out in the field and he should to determine what is happening."
,They do not think that advertising played much of a role in the promotion of OxyContin.,"The facts are that the sales people were the principle agents of getting the word out to use your expression of, of, of putting the materials in the hands of doctors, etc.",They do not quote any anecdotes.,They make the claim that advertising did not play much of a role in the promotion of OxyContin.,"Uh, not directly the sales people were the principle agents of getting the word out to use your expression of, of, of putting the materials in the hands of doctors, etc. I don't recollect that advertising ever played much of a role in the promotion of OxyContin."
The topic of the conversation is pot.,They have not stated any specific points.,N/A,N/A,N/A,"Okay. Pot. Oh, you weren't reading. Okay. From"
The topic they are talking about is studies.,They are discussing the points of different studies.,The facts are the results of the studies.,They do not support their points with anecdotes.,N/A,Studies.
,They think it is too small and difficult.,The anecdote is that it is too small and difficult.,They make the claim that it is too small and difficult.,The premises they rely on are that it is too small and difficult.,"Mike, I'm sorry. This is so small. It's not so easy,"
The topic they are talking about is medical research strategy and implementation.,They are suggesting that normally the medical department has the responsibility for medical research strategy and implementation.,The facts are that normally the medical department has the responsibility for medical research strategy and implementation.,They do not support their point with anecdotes.,N/A,"They might be involved in commenting on it or suggesting things, but normally, um, it's the medical department that has the primary responsibility, uh, both for the medical research strategy and the, and certainly the implementation"
The topic they are talking about is what the person was doing in the general.,They think that the person is presenting ideas to a group for consideration and that this was not directive.,N/A,N/A,N/A,"No, um, he half yes. Half, no. What I think he is doing here in the general is he is in a group meeting, presenting ideas for consideration by the group. Uh, certainly this was not directive and he was not in a position to direct any studies be done or not done."
,They want to catch up to the person they are talking to.,The facts are that the person they are talking to is the senior medical officer.,They do not quote the anecdote.,The claims they make are that the person they are talking to is the senior medical officer and that they just want to catch up.,"He was the senior medical officer. Mm-hmm in this, in this, um, minute of the meeting. Mm-hmm um, let me just read, catch up to you. I said, well, they just invest to support claims."
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
The topic is a good idea.,They think it is a good idea and support their point with facts.,The facts are that it is a good idea and it will help people.,They do not support their point with anecdotes.,N/A,Let's mark this through
The topic the person is talking about is the document.,"The person's points are that the document is either a news paper or magazine, and it is an internal document for the field force or in-house marketing and salespeople.","The facts are that the document is either a news paper or magazine, and it is an internal document for the field force or in-house marketing and salespeople.",There are no anecdotes.,There are no quotes.,"This looks like it was a news paper or magazine, like, um, internal document for, um, the field force principally. I think it was basically the field force and, and, and in in-house marketing and salespeople who would like to see their picture there or be quoted or"
They are talking about the correctness of something.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The topic they are talking about is doing something.,They think it is a good idea and are happy to do it.,The facts are that it is no problem.,They do not support their point with anecdotes.,They do not quote any anecdote.,"Oh, no problem."
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
They are talking about finding a specific paragraph in a document.,They are trying to find a specific paragraph in a document.,N/A,N/A,N/A,"I'm trying to see where it is we have is which paragraph in that color, the very"
The topic is the product.,The person's points are that the product is powerful and has everything you need.,The facts are that the product is powerful and has everything you need.,N/A,N/A,"We have the most powerful sewing package, right? Yes. That"
no topic,cannot summarize points,no,no,no,"I may be, but I don't know. We'll see"
The topic they are talking about is the new drug application.,They think that it is a good idea to file the new drug application.,The facts are that the new drug application will help to get the drug on the market faster.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"To NDA filing. That's the filing of the new drug application, right?"
The topic is not stated.,The person's points are that people should be able to do what they want and that they are undecided on the topic.,N/A,N/A,N/A,"Well, um,"
The topic is not stated.,"The person's points are that the topic is correct in general, but there may be some exceptions.","The facts are that the topic is correct in general, but there may be some exceptions.",There are no anecdotes.,N/A,"Right. Um, in general, that's correct."
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
The topic is unknown.,They have no points to summarize.,N/A,N/A,N/A,Did you have any questions about
The topic the person is talking about is the tone of the memo.,"The person believes that the facts in the memo are accurate, and that the tone was upbeat and enthusiastic.",The facts are that the person believes the memo was accurate and reasonable.,There are no anecdotes.,N/A,"This was a, I believe it is accurate. I'm certain that the facts in there were accurate. The tone was very upbeat. Uh, almost a team enthusiasm building expression. I believe the facts are correct. Um, and I perhaps, uh, I don't regret trying to energize our sales force. I think that was my mission, but, um, this isn't what I would have written if a board had been, uh, or said if the board had been there, I wouldn't have been, uh, the tone. Would've been more restrained. I'm not embarrassed by the tone in the context. I think it was very reasonable."
The topic is not stated.,They are asking if anyone has questions.,N/A,N/A,N/A,You have any questions about the reason it was so quick or anything else?
The topic the person is talking about is points.,The person's points are that points are good and that they help people.,The facts are that points help people and that they are good.,The person does not support their points with anecdotes.,The person does not quote any anecdotes.,Points
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic they are talking about is the FDA approval process.,They think the FDA approval process is important and necessary.,The facts are that the FDA approval process is important and necessary.,They do not support their point with anecdotes.,N/A,This is part of the approval part of the FDA approval
They are talking about the person's work history.,They think that the person has not worked for Purdue Pharma for a long time.,The facts are that the person has not worked for Purdue Pharma for a long time.,There are no anecdotes.,There are no quotes.,"No, no. He hasn't worked for Purdue Pharma for a long time."
The topic is the company's decision to lay off employees.,The company's decision will result in employees losing their jobs.,The facts are that the company has had to make the difficult decision to lay off a number of employees.,There are no anecdotes.,N/A,"Regrettably,"
The topic is his qualifications for the job.,They think he is a good hire because he has experience with the company and he is familiar with their products.,The facts are that he has experience with the company and he is familiar with their products.,There are no anecdotes.,There are no quotes.,He was hired by Purdue Pharma
The topic is time.,They cannot recall exactly.,The facts are that they cannot recall exactly.,They do not support their point with anecdotes.,N/A,"Maybe three years after this. I, I don't recall exactly."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
Promotion,The person is guessing that the other person means that the promotion compares this to other agents that are used in various pain conditions.,N/A,N/A,N/A,"I'm not sure what he meant. I could guess that he means promotion comparing this to other agents that are used in various pain conditions, but that's a guess"
,They have not seen the NDA.,The facts are that they have not seen the NDA.,They do not support their point with anecdotes.,They make no claims.,"Not been shown, uh, in the NDA. Yes."
The topic they are talking about is announcing lunch.,They think that announcing lunch is a good way to let people know when lunch is.,The facts are that people need to eat lunch and announcing it will let them know when to do so.,They do not support their point with anecdotes.,N/A,"Probably announcing lunch,"
The topic they are talking about is needing another pair of glasses.,They are looking for their briefcase in case they need another pair of glasses.,N/A,N/A,N/A,"Where's my briefcase in case I need another, if I need, if I need another pair of glasses."
,They think that some documents are difficult to read.,The anecdote is that some documents are difficult to read.,They make the claim that some documents are difficult to read.,The premise is that some documents are difficult to read.,Something stronger. <laugh> I may have stronger ones. Yeah. Some of these documents are so difficult to read.
The project,The person is curious about the project and wants to know if they were sent it or not.,N/A,N/A,N/A,I wasn't on the project team. I don't know if I reviewed it. Was it I'm curious. Just I could read through this. Was it sent to me or not?
It is not clear.,They think it is unfair that they were not on the circulation list.,N/A,N/A,N/A,"Looks like it was not, I was not on the circulation list."
Unknown,The person lists several reasons why something might happen,None,None,None,Surely there many reasons
They are talking about package inserts.,They are discussing how package inserts have changed over time.,"The facts are that package inserts were very brief and simple 20 years ago, and have become more detailed over time.",They do not support their points with anecdotes.,N/A,"As I said earlier, the package insert was becoming originally 20 years prior to this package, inserts were very, very brief and very simple over time. The agency"
The topic the person is talking about is package inserts.,The person's points are that the package inserts were not well-formatted and that they caused regulatory implications.,The facts are that the package inserts were not well-formatted and that they caused regulatory implications.,There are no anecdotes.,N/A,"Wanted them, uh, to be more complete documents. And then, uh, it had regulatory implications as well. So if you look of the history of use of package inserts, they, by this time had become fairly long and extensive documentation for the physician. Their notion of being printed in that tiny format, um, and stuck with every package in a sense was inconsistent. So you ended up sometimes having this package insert that was as big as the bottle adhered to every bottle, but it was available, uh, to physicians in a variety of other forms. Um, the physician's desk reference, I think you must be familiar with, which was the way most physicians then would read a package insert. It was just a compilation of all the approved products package inserts."
The topic the person is talking about is the package insert for a product.,"The person's points are that the company and the FDA have power over what the package insert says, and that it is important for the company to be clear about what the insert says.","The facts are that the company and the FDA have power over what the package insert says, and that it is important for the company to be clear about what the insert says.",The person does not support their points with anecdotes.,N/A,"First of all, they have to understand what the package insert is gonna say about the product so that they can think of, um, how they're going to present promotional materials. Secondarily, they might, if the package insert is in draft form and under discussion with the agency, turn to the responsible medical officer, as an example, or the regulatory people and say, you know, this could be misunderstood. This uh, could represent a problem. Um, and so they would contribute to the clarity, but the medical department was and regulatory department with the principal owners of the document in the company and the owner of the document for the government was the food and drug administration. And of course they had determinative power as to what it, what it ultimately ended up as"
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
Unknown,The person is unsure if the actions were done before or after approval,No,No,No,"I'm sure they were done after approval, but I don't know whether any were done before approval."
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is the project.,The person's points are that the project was successful and that the senior medical officer was competent.,The facts are that the project was successful and that the senior medical officer was competent.,There are no anecdotes.,There are no quotes.,He was the senior medical officer on this project at Purdue Frederick.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic they are talking about is the OxyContin presentation.,They want to see the OxyContin presentation.,The facts are that they want to see the OxyContin presentation.,They do not support their point with anecdotes.,N/A,Just a second OxyContin presentation. I see it.
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
Unknown,"The person wishes they could take credit for the idea, but don't know who did.",N/A,N/A,N/A,"I wish I could lay claim to it, but no, I don't know who, who came up with it."
The topic is unclear.,"They are saying that the launch campaign may have had the subtext of the old way and the new way, but it was not the focus.",N/A,N/A,N/A,"That was not the launch campaign in a sense. It may have been a subtext of the launch campaign, which was the old way and the new way, but"
The topic the person is talking about is unclear.,The person's points are that they are unsure and that the package insert was approved before they knew about it.,The facts are that the person is unsure and that the package insert was approved before they knew about it.,The person does not support their point with an anecdote.,N/A,"I don't know. I'm looking at, is this after the package insert? Nope. No, it was before the package insert was approved. I don't know."
no topic,none,no,no,no,I don't know what this refers to.
It is not clear what they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,We did not.
N/A,They don't make any points.,N/A,N/A,N/A,Do you wanna mark it?
They are talking about the number 20.,They are summarizing their points.,The facts are that it is 20 and they are keeping them.,They are not supporting their point with anecdotes.,N/A,Now. It's 20. Are you keeping these? Yes. Okay. It's number 20
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,N/A,That's what it says.
They are talking about the date.,They think that the date is wrong.,The facts are that the date is wrong.,They do not support their point with anecdotes.,N/A,"Wait, wait, I see June 8th, not June 22nd."
N/A,They do not make any points.,N/A,N/A,N/A,"Okay. My, my mistake. Okay."
The topic is making an inference.,"The person is talking about making an inference, and they are unsure about when to do so.",N/A,N/A,N/A,"I would infer that, but I don't know when,"
The topic the person is talking about is a new pain medication.,They are summarizing the points that are written in the document.,The facts are that the drug will be targeted at the cancer pain market and will not be promoted to the non-malignant pain market.,The person does not support their point with anecdotes.,N/A,"Yes. Uh, it doesn't say that the however that we, let me just read this again, uh, will be targeted at the cancer pain market. It doesn't say that it will not be promoted to the non-malignant pain market."
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The topic is unknown.,The person's points are that the trend was happening at that time and that it is unknown if it is still happening.,The facts are that the trend was happening at that time.,There are no anecdotes.,There are no quotes.,That was the trend at that time. Yes.
The topic is that the person is undecided.,"The person's points are that they want two questions so they can answer them both, and that they are undecided.","The facts are that the person wants two questions so they can answer them both, and that they are undecided.",There are no anecdotes.,There are no quotes.,So could you just break it into two questions and I'll answer them both.
N/A,They do not state any points.,N/A,N/A,N/A,And stop after one <laugh>
