topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is the spoon and shoot study.,The person's points are that they do not know what the spoon and shoot study is and they want to know more about it.,N/A,N/A,N/A,The results of a spoon and shoot study have been sent to the FDA. What was the spoon and shoot study?
The topic they are talking about is the study done on oxycodone.,They are questioning the study and whether or not the drug can be abused.,The facts are that the study was done to determine if the drug could be abused.,They do not support their point with anecdotes.,N/A,"Um, was that a study done to determine if, uh, the drug could be abused by extracting oxycodone from the tablet?"
The topic they are talking about is a crush tablet study.,They are questioning if a study is needed and if one has been conducted in the past.,N/A,N/A,N/A,"And then under 3.2, the last sentence says a crush tablet study may be conducted if we decide such a study is needed. Do you know if you ever decided such a study was needed?"
They are talking about the topic of it being a good thing.,They think it is a good thing.,The facts are that it is a good thing.,They do not support their point with anecdotes.,They do not quote any anecdotes.,3.2 last
The topic they are talking about is Mike Innerato's role in the company.,They are questioning whether or not Mike Innerato was a guy in charge of marketing.,N/A,N/A,N/A,"And then on 5.4, the very last sentence says Mike Innerato. And was he a guy in charge of marketing?"
The topic is quality of life questions in research studies.,They are discussing the possibility of including quality of life questions in future studies.,N/A,N/A,N/A,"All right. It says, uh, Mike Innerato asked if we had any quality of life questions in our ongoing studies. Robert reader stated that we did not, but that we could include quality of life questions and future studies."
Quality of life questions.,They are asking if quality of life questions were included.,N/A,N/A,N/A,Do you know if quality of life questions were included?
The topic they are talking about is OxyContin and morphine.,They are asking whether OxyContin is more powerful or less powerful than morphine.,N/A,N/A,N/A,"Yeah. Let's mark that as zip been marked yet exhibit nine, with respect to oxycodone and morphine. Um, do you know, um, whether OxyContin is more powerful or less powerful a drug than morphine?"
The topic is Dr. Goldenheim.,"The person's points are that they are unsure if Dr. Goldenheim is good, and they question if he was an employee of the company.","The facts are that the person is unsure if Dr. Goldenheim is good, and they question if he was an employee of the company.",There are no anecdotes.,There are no quotes.,"Um, I think Dr. Is it good? Goldenheim yes. Was he an employee of,"
The topic is the strength of OxyContin.,They think that the person testifying is correct- that OxyContin is twice as strong as morphine.,The facts are that the person testifying said that OxyContin is twice as strong as morphine.,They do not support their point with anecdotes.,N/A,I think he testified that that OxyContin was twice as strong as morphine. Is that your understanding?
The topic the person is talking about is a drug that is equal to or less strong than morphine.,The person's points are that they are not sure how many doctors think the drug is equal to or less strong than morphine and they would like to know.,The facts are that the person does not know how many doctors think the drug is equal to or less strong than morphine.,The person does not support their point with anecdotes.,N/A,Do you know how many doctors or what percentage of doctors thought that it was equal to or less strong than morphine?
The topic they are talking about is the oxycodone project.,They think the oxycodone project is a good idea.,The facts are that the oxycodone project is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Let's mark this as plaintiff's exhibit 10. This is the, um, a memo dated 1992, August 10th, oxycodone project team meeting minutes."
It is impossible to determine what topic they are talking about.,They do not make any points.,N/A,N/A,N/A,And it is PDD 9 5 2 1 4 1 0 3 2 9 3 9.
They are talking about conducting a literature search on oxycodone and oxymorphone.,They are conducting a literature search on oxycodone and oxymorphone.,The facts are that they are conducting a literature search on oxycodone and oxymorphone.,They do not support their point with anecdotes.,N/A,"And if you'll look at this, it says a literature search, the second paragraph, a literature search on oxycodone and oxymorphone. Just a second is being conducted."
They are talking about being on the same page.,They think the other person is not on the same page.,N/A,N/A,N/A,"No, you're not. You're on page two. I'm on page one. Oh,"
They are talking about conducting a literature search on oxycodone and oxymorphone.,They are conducting a literature search on oxycodone and oxymorphone.,The facts are that they are conducting a literature search on oxycodone and oxymorphone.,They do not support their point with anecdotes.,N/A,"I'm sorry. Second paragraph. A literature search on oxycodone and oxymorphone is being conducted by one of the summer employees. Um, um, do you know who was doing the literature search initially?"
They are talking about the idea to develop different dosages of a tablet.,They are confused about the idea to develop different dosages of the tablet.,N/A,N/A,N/A,"Fifth paragraph down second sentence says the current consideration is to develop 20, 40, 80 and 160 milligram tablet. In addition to the 10 milligram tablet now in the clinic. And whose idea was it to develop? Uh, 20, 40, 80 and 160 milligram tablets. I'm sorry,"
They are talking about the idea.,They think it is a great idea and are very excited about it.,The facts are that it is a great idea and they are very excited about it.,They do not support their point with anecdotes.,N/A,First page. Just what I called out. Fourth paragraph. Second sentence.
The topic they are talking about is coordinating the package insert with advertising claims.,Their point is that the package insert should include comparative claims and be coordinated with the advertising claims.,The fact is that it is a working document.,They do not support their point with an anecdote.,They do not quote an anecdote.,"And then if you'll go to the second page, um, first paragraph, it says with regard to the package insert and the first year advertising claims, it was discussed with that. Mr. Cigar should meet with others and rework the quote draft package insert the purpose would be to idealize the insert and coordinate the contents with the advertising claims and clinical trials program. The package insert should include comparative claims. It must be kept in mind. This is a working document. Why did you want to, uh, coordinate the package, insert with your advertising? Claims"
The topic is OxyContin.,"The person's points are that physicians are aware of OxyContin being twice as strong as morphine, and that they think it is a good idea to have this information.",The facts are that physicians are aware of OxyContin being twice as strong as morphine.,There are no anecdotes.,There are no quotes.,"And this is a, you talked about physicians being aware of, uh, OxyContin being, uh, twice as strong as morphine a second ago. Let me hand you let's mark this as exhibit 11. This is an email. It says the author is doc. May"
The topic is the email.,The person's points are that they are unsure if they are familiar with the email and that the author is Dr. Richard Sackler.,The facts are that the email is dated 5/28/97 and that the author is Dr. Richard Sackler.,There are no anecdotes.,There are no quotes.,"Sorry. In front of you says the author is Dr. Richard Richard Sackler at Norwalk dated 5 28 97. Uh, are you familiar with this email to Michael Friedman? Yes, who's Michael Friedman."
The topic is sales.,The person's points are that the issue is complex and that they need clarification.,The facts are that the issue is complex and that they need clarification.,There are no anecdotes.,There are no quotes.,"Sales. Okay. And let's drop down and see what Michael Friedman has written. Uh, first paragraph, he says, my purpose in writing this memorandum is to clarify our position on the very complex issues raised by Mike CU during the phase four team meeting in which we're the subject of Dr. Richards inquiry. When they say Dr. Richards, who's that?"
The topic they are talking about is oxycodone.,"They are saying that many physicians think oxycodone is weaker than morphine, but this is because they associate it with less serious pain syndromes.",The facts are that the association arises from their extensive experience with and use of oxycodone combinations.,There are no anecdotes.,There are no quotes.,"Was me. All right. First paragraph, we are well aware of the view held by many physicians that oxycodone is weaker than morphine. We also that this is the result of their association of oxycodone with less serious pain syndromes. This Associa and drones, this association arises from their extensive experience with and use of oxycodone combinations"
,The person's points are that oxycodone is an effective pain treatment and that it is underutilized.,The facts are that oxycodone is an effective pain treatment and that it is underutilized.,The claims the person makes are that oxycodone is an effective pain treatment and that it is underutilized.,The premises the person relies on are that oxycodone is an effective pain treatment and that it is underutilized.,"To treat pain arising from a diverse set of causes, some serious, but most less serious. This quote personality of oxycodone is an integral part of the quote personality. Um, this personality of oxycodone is an integral part of the personality of OxyContin. When we launched OxyContin, we init intentionally avoided a probation promotional theme that would link OxyContin to cancer pain. We specifically linked OxyContin to the oxycodone combinations with our old way new way campaign. We made sure our initial detail piece provided reps with the opportunity to sell the product for a number of different pain states. With all of this, we were still concerned that the drug would be slotted for cancer pain, and we would encounter resistance in the non-malignant pain market and says our pricing of the product was geared toward the nonmalignant market. We knew if we priced low per milligram for the higher dose cancer patient, we would be priced way too low per milligram for the standard nonmalignant pain patient, where we really wanted to make a market. We feared that the cancer pain experts would object to the two to one ratio. And that two to one ratio is the ratio of oxycodone OxyContin to morphine. Is that correct?"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
They are talking about the cost of therapy.,They think it is a good idea because it is cheaper and they had no choice.,The facts are that it is cheaper and they had no choice.,They do not support their point with anecdotes.,N/A,"Yes. Yes. Uh, and resulting cost of therapy for high dose patients. However, we had no choice given our position for OxyContin in any case we're developing hydromorphone."
They are talking about how they are developing.,They are talking about how they are developing.,The facts are that they are developing.,They do not support their point with anecdotes.,N/A,We're developing
The topic they are talking about is the high dose patient.,They think the high dose patient is doing well.,The facts are that the high dose patient is doing well.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"For the high dose patient,"
The topic is the nonmalignant pain market.,The person's points are that the nonmalignant pain market is successful and that it helps patients with chronic pain.,The facts are that the nonmalignant pain market is successful.,There are no anecdotes.,N/A,"And then it says, despite our initial uncertainty we've been successful beyond our expectations in the nonmalignant pain market. Yes. And nonmalignant pain market is sort of the chronic, uh, arthritis back pain. Um, those types of patients."
They are talking about the idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,"Mm-hmm <affirmative>. And then he says here,"
The topic is the use of OxyContin.,The person's points are that the drug is effective and that it is less threatening than alternatives.,The facts are that the drug is effective and less threatening than alternatives.,There are no anecdotes.,There are no quotes.,"Doctors use the drug in nonmalignant pain because it is effective. And the personality of OxyContin is less threatening to them and their patients than that, of the morphine alternatives. I apologize for this unspecific term, but I feel it captures the notion that there are image related attributes that influence drug acceptance. While we might wish to see more of this product sold for cancer pain, it would be extremely dangerous at this early stage in the life of the product to tamper with this quote personality to make physicians think the drug is stronger or equal to morphine. We are better off expanding use of OxyContin in the nonmalignant pain states and waiting for hydromorphone in 1999 to relaunch into cancer pain. Why was it felt that there would be a danger? Uh, it would be extremely dangerous at the early stage in the life of this product to tamper with this quote personality to make physicians think the drug is stronger or equal to morphine."
The topic is OxyContin.,"The person's points are that physicians think OxyContin is stronger than morphine, and that sales of OxyContin would go down if they did.","The facts are that physicians think OxyContin is stronger than morphine, and that sales of OxyContin would go down if they did.",There are no anecdotes.,There are no quotes.,"Did you think that if physicians thought it was stronger or equal to morphine, um, much less, twice as strong as morphine, that they would be less likely to write prescriptions and sales of OxyContin would go down?"
The topic the person is talking about is oxycodone.,"The person's points are that they are aware of the view held by many physicians that oxycodone is weaker than morphine, and they agree with the decision not to do anything about it.",The facts are that oxycodone has been on the market for two years and many physicians believe it is weaker than morphine.,There are no anecdotes.,N/A,"This is 19 97, 2 years after the launch of OxyContin controlled release, correct? Yes. So it's been on the market now, uh, over, uh, well, you launched of January 96, we're now in may of 97. And it says we are well aware of the view held by many physicians that oxycodone is weaker than morphine. And, and the conclusion of this was, um, I do not plan to do anything about that. And you wrote back and said, I agree with you. Is there a general agreement or are there some holdouts? And was that what you wrote up at the top"
The topic is non-malignant pain.,They are asking a question to clarify a point.,N/A,N/A,N/A,Okay. So you weren't doing this because the pain market for non-malignant pain was a much greater market share. Is that your
The topic is the email.,They want to look at the email.,The facts are that there is an email to Michael co at Norwalk.,They do not support their point with anecdotes.,N/A,"Let's let's let's look at the, the email you wrote to Michael co at Norwalk. Let's mark this as plaintiff's exhibit 12."
The topic the person is talking about is OxyContin.,"The person's points are that some physicians perceive OxyContin as not being as strong as MS. Contin, and that oncologists are cancer.","The facts are that some physicians perceive OxyContin as not being as strong as MS. Contin, and that oncologists are cancer.",There are no anecdotes.,There are no quotes.,"And Michael Colin writes, uh, on June 2nd of 97. And that was after the email we were just looking at and says in recent team meetings, we've discussed the issue that OxyContin is perceived by some physicians, particularly oncologists as not being as strong as MS. Contin now oncologists are cancer."
They are talking about the strength of OxyContin.,They think that OxyContin is not as strong as MS. Contin.,The facts are that cancer doctors don't think that OxyContin is as strong as MS. Contin.,They don't support their point with anecdotes.,N/A,"Doctors, correct? Yes. So even the cancer doctors don't think that OxyContin is, uh, as strong as MS. Contin object object, according to this, correct? Objection"
The topic is OxyContin.,They are saying that OxyContin is not as strong as MS. Contin.,The facts are that some physicians perceive OxyContin as not being as strong as MS. Contin.,There are no anecdotes.,There are no quotes.,"Says. Oh, well, let me rephrase it. Uh, you, you were aware or at least Michael CU was advising you that OxyContin is perceived by some physicians, particularly oncologists as not being as strong as MS. Contin, is that correct?"
The topic they are talking about is the positive effect of the drug on non-cancer pain patients.,"The person's points are that the drug is having a positive effect with physicians treating non-cancer pain, and that it is cells.",The facts are that the drug is having a positive effect with physicians treating non-cancer pain.,They do not support their point with anecdotes.,N/A,"Say. And he says, although this perception has had some effect with physicians switching to Ms. Cotton with more severe cancer pain patient, it has actually had a positive effect with physicians use in non-cancer pain. And there he's saying non-cancer physicians that don't think it's as strong as MS. Contin we're having a positive effect from that. And I'm assuming he's talking about cells, wouldn't you?"
The topic the person is talking about is oxycodone.,"The person's points are that oxycodone is perceived as being a weaker opioid than morphine, and that OxyContin is being used much earlier for non-cancer pain because of this.","The facts are that oxycodone is perceived as being a weaker opioid than morphine, and that OxyContin is being used much earlier for non-cancer pain because of this.",There are no anecdotes.,There are no quotes.,"He says, since oxycodone is perceived as being a weaker opioid than morphine, it has resulted in OxyContin being used much earlier for non-cancer pain. Physicians are positioning this product where Percocet, hydrocodone and Tylenol with coding have been traditionally used. So he's saying here, physicians are using it because they think it's weaker than morphine, correct?"
The topic is OxyContin.,They want to know if the person agrees that physicians saw OxyContin as less strong than morphine.,N/A,N/A,N/A,"We're we're not done reading it yet, but let me ask you this. You were advised by your senior, um, employees that physicians perceived OxyContin controlled release as less strong than morphine. Uh, many physicians perceived it that way. Uh, correct"
The topic is OxyContin controlled release.,They are questioning the research that has been done on the topic.,N/A,N/A,N/A,"Did you do any studies yourself or conduct any investigation to determine what percentage of physicians believe that OxyContin controlled release was less powerful than morphine? And we're, we're not aware it was twice as strong as"
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic the person is talking about is a drug that is being mis marketed as being stronger than it actually is.,"The person's points are that the sales force was telling physicians that the drug is stronger than it actually is, and that this needs to be corrected.",The facts are that the sales force was telling physicians that the drug is stronger than it actually is.,There are no anecdotes.,There is no quote.,"Sure. And it's your belief that your sales force was telling these physicians that, uh, it's actually twice as strong as morphine and correcting that misperception that they"
The topic is not stated.,"They think that promotional pieces, symposiums, review articles, and studies would all point out the benefits of the topic.","The facts are that promotional pieces, symposiums, review articles, and studies would all point out the benefits of the topic.",N/A,N/A,"So promotional pieces, your symposiums, your review articles, your studies would all point that out."
The topic of the email is positioning OxyContin in the market.,They are summarizing the points made in the email.,"The facts are that the non-cancer pain market is much greater than the cancer pain market, and that if OxyContin is positioned as more powerful than morphine, it may help in the cancer pain market but hurt in the non-cancer pain market.",There are no anecdotes.,N/A,"Materials. Well, well, let's read the rest of Michael Collins, um, email dated 6, 2 97. Well, after the launch of OxyContin, paragraph three says since the non-cancer pain market is much greater than the cancer pain market, it is important that we allow this product to be positioned where it currently is in the physician's mind. If we stress the power of OxyContin versus morphine, it may help us in the smaller cancer pain market, but hurt us in the larger, larger potential non-cancer pain market. Some physicians may start positioning this product where morphine is used and wait until the pain is severe before using it. Marketing has decided that, and by that they're talking about the marketing group, correct?"
The topic the person is talking about is the marketing department's decision to focus on expanding OxyContin use for non-cancer pain.,The person's points are that it is important to be careful when developing promotional pieces and that OxyContin is not as strong as in S Contin.,The facts are that the marketing department should focus on expanding OxyContin use for non-cancer pain and that it is important to be careful when developing promotional pieces.,The anecdote is that OxyContin is not as strong as in S Contin.,The person quotes the anecdote.,"Yes. Yeah. Marketing department. So it says marketing has decided that the effects of the phase four team should be predominantly focused on expanding OxyContin use for non-cancer pain. And then if you look at the last paragraph, it says it is important that we'd be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles, studies, et cetera. And what they're talking about there is let's not clear up this misconception that physicians have that OxyContin is, um, not as strong as in S Contin,"
The topic the person is talking about is the approach to cancer pain.,The person's points are that oncologists are the cancer pain doctors and that the sales force can teach the oncologist the proper dose and titrate OxyContin to ensure that they stay with it as the pain increases.,The facts are that oncologists are the cancer pain doctors and that the sales force can teach the oncologist the proper dose and titrate OxyContin to ensure that they stay with it as the pain increases.,The person does not support their points with anecdotes.,N/A,"Oh sure. Our approach to cancer pain will be to get physicians to use it earlier. Instead of products such as Percocet, Vicodin, or Tylenol three, the sales force can teach the oncologist the proper dose and titrate OxyContin to ensure that they stay with it as the pain increases. Now, oncologists are the cancer pain doctors, correct? That doesn't say anything about all the nonmalignant, uh, doctors, all the doctors that treat nonmalignant pain. Correct."
It is unclear what the person is talking about.,They do not have any points.,N/A,N/A,N/A,"And, uh, well,"
The topic is OxyContin.,"The person's points are that OxyContin is twice as strong as morphine, and that nonmalignant pain physicians' perception that it is not correct should not be changed.",The facts are that OxyContin is twice as strong as morphine.,N/A,N/A,"It, well, the whole purpose of this email is that you not teach the nonmalignant pain physicians. That OxyContin is, uh, twice as strong as morphine and let them continue with their perception that it's not correct."
The topic they are talking about is oxycodone.,They are summarizing the points.,The facts are that oxycodone should not be promoted as a pain reliever.,They are not supporting their point with anecdotes.,N/A,"Well, let's, let's continue reading the rest of it. Then. Um, last paragraph, it is important that we be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles, studies, etc. Now, et cetera. Now, am I correct? That what he's saying in here is let's not clear up the misperception in any of our promotional pieces, symposia review articles or studies"
The topic the person is talking about is the effect of OxyContin's perception on sales.,"The person's points are that some physicians think OxyContin is not as strong as MS. Contin, and that this perception has had some effect on sales.","The facts are that some physicians think OxyContin is not as strong as MS. Contin, and that this perception has had some effect on sales.",The person does not support their points with anecdotes.,N/A,"Yeah. Sure. Well, let's go back and talk about it a little bit more then. So in the first paragraph, he says, we've discussed the issue that OxyContin is perceived by some physicians, particularly oncologists as not being as strong as MS. Contin. Although this perception has had some effect with physicians, switching to MS. Contin with the more severe cancer pain, um, it has actually had a positive effect with physicians use and non-cancer pain. So what he's saying there, if I'm reading this correctly, is that because they think it is, uh, not as strong as Ms. Cotton, when they need a strong drug for cancer pain patients, some of the physicians aren't switching to it because they don't think it's as strong and that may hurt sales a little bit there, but with the non-cancer pain where you don't want as strong a drug as an end of life, malignant cancer pain patient might need, it's actually helping ourselves that they have this misperception because they are going ahead and prescribing it because they don't think it's as strong as Ms. Cotton, that it is that what that first paragraph is saying."
The topic the person is talking about is oxycodone.,The person's points are that more people are using oxycodone earlier for non-cancer pain because they think it is weaker.,The facts are that more people are using oxycodone earlier for non-cancer pain because they think it is weaker.,There are no anecdotes.,N/A,"So then he says, since oxycodone is perceived as being weaker, opioid than morphine, it has resulted in OxyContin being used much earlier for non-cancer pain. Correct. So he's saying more people are using it earlier for non-cancer pain. Cause they think it's weaker,"
The topic is that it is helping cells because they don't think it is as strong as something else.,They think that it is helping cells because they don't think it is as strong as something else.,The facts are that it is helping cells because they don't think it is as strong as something else.,They do not support their point with anecdotes.,N/A,"Sure. And what he's saying here is the non-cancer pain doctors, which is the much bigger market share when you're trying to sell OxyContin is the nonmalignant pain market. It's actually helping cells there cuz they don't think it's as strong as"
The topic is using effective methods.,They think that using effective methods is a good idea.,The facts are that using effective methods can help people achieve their goals.,They do not support their points with anecdotes.,N/A,Wanna use effective
The topic they are talking about is the positioning of OxyContin in the physician's mind.,They think it is important to allow the product to be positioned where it is in the physician's mind.,The facts are that the OxyContin controlled release is not as effective as morphine.,They do not support their point with anecdotes.,N/A,"Yeah. And then down at the bottom, he says, or let's take the middle paragraph since the non-cancer pain market is much greater than the cancer pain market. Is it important? We allow this product to be positioned where it currently is in the physician's mind. And that means, let 'em believe that, um, OxyContin controlled release is not as effective as morphine."
The topic is the power of OxyContin versus morphine.,They are summarizing the points made by someone else.,The facts are that OxyContin is more powerful than morphine.,There are no anecdotes.,N/A,"Sure. He says, if we stress the quote power of OxyContin in quote versus morphine, and that is, uh, it may help us in the smaller cancer pain market that him know that it is more powerful than morphine that'll help in the smaller cancer pain market. Correct."
The topic is the product.,"The person's points are that the product may be positioned where morphine is used, and that pain would have to be severe before using it.","The facts are that the product may be positioned where morphine is used, and that pain would have to be severe before using it.",There are no anecdotes.,There are no quotes.,"Yeah. But hurt us in the larger potential non-cancer pain market. Some physicians, physicians may start positioning this product where morphine is used and wait until pain is severe before using it."
The topic is a good idea.,They think it is a good idea and are happy with it.,The facts are that it is a good idea and they are happy with it.,They do not support their point with anecdotes.,N/A,"And in,"
The topic the person is talking about is the marketing department's decision to focus on expanding OxyContin use for non-cancer pain.,"The person's points are that if the misperception is cleared up, then the group may be less likely to prescribe OxyContin.","The facts are that if the misperception is cleared up, then the group may be less likely to prescribe OxyContin.",The person does not support their points with anecdotes.,N/A,"And then the marketing department has decided that the efforts of the phase four team should be predominantly focused on expanding OxyContin use for non-cancer pain. Right. Right. That's the, that's the group that if you clear up the misperception may be less likely to prescribe according to what he's written here. Correct."
The topic is whether Purdue Pharma allowing patients to believe that the drug they are prescribing them is weaker than morphine will compromise patient care.,"The person's points are that they are unsure if Purdue Pharma allowing patients to believe that the drug they are prescribing them is weaker than morphine will compromise patient care, and they would like to know if others think the same.",N/A,N/A,N/A,"Do, do you think it might compromise patient care if Purdue Pharma allowed patients, uh, physicians to believe that the drug they are prescribing them is weaker than morphine."
The topic is whether or not Purdue Pharma's OxyContin is weaker than morphine.,They are questioning if Purdue Pharma is aware that many physicians feel that OxyContin is weaker than morphine and if they have done anything to clear up the misconception.,The facts are that many physicians feel that OxyContin is weaker than morphine.,N/A,N/A,"Question. Do you think it might compromise patient care? If Purdue Pharma was aware that many physicians felt like, um, OxyContin was weaker than morphine and did nothing to clear up that misconception?"
The topic they are talking about is oxycodone.,They think it is important to be careful not to change the perception of physicians toward oxycodone.,"The facts are that after the launch, the package insert has been put out and all that.",They do not support their point with anecdotes.,N/A,"Right. And this is 1997. That's correct. Well, after the launch, well, after your package insert has been put out and all that, correct? Yes. And, and you and Michael CU says it is important that we be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles, studies, et cetera. Correct. Is that what he wrote?"
The topic they are talking about is clearing up a misconception.,"They think the person has the issue well in hand and if there are developments, they should be notified.","The facts are that the person has the issue well in hand and if there are developments, they should be notified.",They do not support their point with anecdotes.,N/A,"And you replied to him and did not say no, we need to clear up this misconception immediately. What you said is I think that you have this issue well in hand that's, if there are developments, please let me know."
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,"We were reading from, uh,"
The topic is not stated.,They have not stated any specific points.,N/A,N/A,N/A,"From your top where you said, I think that"
"The topic they are talking about is that it is important to be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles or studies.","They think that it is important to be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles or studies.","The facts are that it is important to be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles or studies.",They do not support their point with anecdotes.,N/A,"Where he says it is important that we be careful not to change the perception of physicians toward oxycodone when developing promotional pieces, symposia, review articles or studies."
The topic is whether or not it is a good idea.,They think it is a good idea and they support their points with facts.,The facts are that it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"All right. Let me hand you, let's mark this as plaintiff's exhibit 13."
The interoffice memo.,They do not mention any points.,N/A,N/A,N/A,This is an interoffice memo dated 1994.
The O.J. Simpson trial,Michael Friedman's role in 1994,Michael Friedman was a member of the O.J. Simpson defense team,Michael Friedman was a member of the O.J. Simpson defense team,Michael Friedman was a member of the O.J. Simpson defense team,"And this is from Michael Friedman. Uh, what was his role in 1994?"
The topic is the umpire's call.,They are happy with the umpire's call.,"The facts are that the umpire called out ""two.""",They do not support their point with anecdotes.,N/A,"And it's two,"
,They support their points with facts.,They claim that the Sacklers are good people and that they have done a lot of good for the world.,The premises they rely on are that the Sacklers are good people and that they have done a lot of good for the world.,The topic they are talking about is the Sacklers.,"To. And that's Mor Sackler Raymond Sackler and Dr. Richard Sackler, which would"
They are talking about the FDA's potential restriction of OxyContin's initial launch to the cancer pain market.,They are discussing the FDA's potential restriction of OxyContin's initial launch to the cancer pain market.,The facts are that the FDA may restrict OxyContin's initial launch.,They do not support their point with anecdotes.,N/A,"And under discussion, if you go to page four, it says, we believe that the FDA will restrict our initial launch of OxyContin to the cancer pain market. Did you believe that at the time"
OxyContin,They think that physicians will perceive OxyContin.,N/A,N/A,N/A,"However, we also believe that physicians will perceive OxyContin."
They are talking about the idea of a number next sentence.,They think it is a good idea and that it will help people.,The facts are that it will help people and that it is a good idea.,They do not support their point with anecdotes.,N/A,"Number next sentence, 1.3"
The topic they are talking about is OxyContin.,They think that physicians will see OxyContin as a controlled release Percocet without acetaminophen and expand its use.,The facts are that OxyContin is a controlled release Percocet without acetaminophen.,They do not support their point with anecdotes.,N/A,"However, we also believe that physicians will perceive OxyContin as controlled release Percocet without acetaminophen and expand its use. Now is OxyContin controlled release Percocet"
The topic they are talking about is OxyContin controlled release versus Percocet.,They are asking a question about whether OxyContin controlled release is more powerful than Percocet.,N/A,N/A,N/A,"Uh, is, is OxyContin controlled release, more powerful than Percocet?"
The topic is OxyContin.,"The person's points are that studies have shown that 10 milligrams of OxyContin had the same effect as a placebo, and that it was really only the 20 milligram that was effective.","The facts are that studies have shown that 10 milligrams of OxyContin had the same effect as a placebo, and that it was really only the 20 milligram that was effective.",There are no anecdotes supporting the points.,N/A,"When you all did studies, did you find out that 10 milligrams of OxyContin had the same effect as a placebo? And it was really only the 20 milligram that was effective."
The topic is OxyContin.,They do not want to discourage physicians from using OxyContin for chronic non-malignant pain.,The facts are that they do not want to discourage physicians from using OxyContin for chronic non-malignant pain.,They do not support their point with anecdotes.,N/A,"Um, we do not want to position OxyContin in a way that will discourage physicians from using OxyContin for the chronic non-malignant pain. Okay."
The topic is using OxyContin to treat non-malignant chronic pain patients.,The person's points are that the study showed that OxyContin is effective and safe for treating non-malignant chronic pain patients.,The facts are that the study showed that OxyContin is effective and safe for treating non-malignant chronic pain patients.,There are no anecdotes.,There are no quotes.,"Next paragraph. Okay. We will. I mean, next sentence, especially when we have studies available that demonstrate efficacy and safety for this indication. Okay. Do you know what your study showed about non-malignant chronic pain patients developing, uh, uh, tolerance or dependency or withdrawal from OxyContin?"
Marking someone as correct.,The person is talking about marking someone as correct.,N/A,N/A,N/A,"Let's uh, mark been marked correct"
The topic they are talking about is OxyContin.,They are summarizing their points.,The facts are that OxyContin has a ceiling effect.,They are not supporting their point with anecdotes.,They are not quoting an anecdote.,"Um, I'm gonna hand you a document. It is, uh, dated April 23rd, 1997. And on the bottom of page, one is an email you sent, uh, regarding San Antonio and it says, uh, it's 4 20, 2 97. This is P D D 1 7 1 8 1 1 4 1. And it's to looks like Michael Friedman. Michael, I am somewhat surprised that 18 months into marketing, significant groups of experts, oncologists, for example, believe that OxyContin has a ceiling effect. What did you mean by ceiling effect"
The topic they are talking about is controlled release drugs.,They are discussing the idea of gathering materials to disprove a misconception about controlled release drugs.,The facts are that there are misconceptions about controlled release drugs and that many of these misconceptions are the result of residual attitudes associated with the immediate release forms.,They do not support their point with anecdotes.,N/A,"Okay. What materials could we pull together that would smash this critical misconception? Can we put together some approaches and test whether they would be potent weapons in this effort? And he writes back and says to you, there will always be misconceptions about drug substances for controlled release drugs. Many of these misconceptions are the result of residual attitudes associated with the immediate release forms. Um,"
The topic the person is talking about is the personality of a drug and how it can shape marketing.,"The person's points are that the personality of a drug can shape how it is marketed, and that success in marketing is due in part to the unique personality of the drug.","The facts are that the personality of a drug can shape how it is marketed, and that success in marketing is due in part to the unique personality of the drug.",The person does not support their points with anecdotes.,N/A,"Uh, I'll just read the whole thing. So for example, morphine has a personality quote that was shaped when it was an IV drug. Oxycodone has a personality quote that was influenced by many years of oxycodone use and Percocet. We built a large part of our platform on this personality and it is to differentiate OxyContin from Duragesic. This differentiation has led to much non-malignant business marketing. This next paragraph marketing is not only about what you are it's about what you are not. We have had success beyond our expectations. That is in part due to the unique personality of OxyContin. Even as we seek to increase the use of the drug in higher doses, we should be very careful as you know, the strength of the judge drug is principally a barrier in malignant pain. If we do not want to change the image in a way, or I'm sorry, we do not want to change the image in a way that will discourage non-malignant use a barrage would be ill advised and you wrote back. Excellent points. What about rifle shots? Is that correct?"
The topic is cancer research.,The person's points are that James Lang sat in on some oncology focus groups and that he found the experience to be eye-opening.,The anecdote is that James Lang found the experience to be eye-opening.,,"""And he found the experience to be eye-opening.""","And over here on the, before that there's a letter to you from James Lang and he's pointing out that he sat in some oncology focus groups and he, um,"
N/A,They are looking for something on page two.,N/A,N/A,N/A,"It's page two,"
